Material,Value
Li / / LiMoVO6,1.8
Li / / LiNi0.1Mn0.1Co0.8O2,2
Li / / LiNi0.1Mn0.1Co0.8O2,4.4
Li / / LiNi0.3Co0.7O2,4
Li / / LiNi0.5Co0.5O2,4
Li / / LiNi0.5Mn0.5O2,4.6
Li / / LiNi0.95Al0.05O2,4.4
Li / / LiNi1−yAlyO2,4.4
Li / / LiNi1−yAlyO2,3
Li / / LiNiVO4,4.9
Li / / LiNiVO4,4.2
Li / / LiNiVO4,4.7
Li / / LiTiyCo1−yO2,3.78
Li / / LiTiyCo1−yO2,3.66
Li / / LixAlyCo1−yO2,4.3
Li / / LixAlyCo1−yO2,2.5
Li / / LixCoO2,4.5
Li / / MoO2.85,3.2
Li / / Ni0.5TiOPO4 / C,3
Li / / Ni0.5TiOPO4 / C,1.14
Li / / Pth,3.6
Li / / Pth,4
Li / / Pth,2
Li / / SnP2O7 / graphite,0.9
Li / / Ta0.25Nb0.75VO5,4
Li / / V2O5,3.4
Li / / y-LixV205,2.2
Li / / y-LixVz05,3.8
Li / / y-LixVz05,1.2
Li / / y-LixVz05,2
Li / [Li(glyme)1][TFSI] / LiCoO2,4.2
Li / 0.3Li2MnO3 · 0.7LiMn0.5Ni0.5O2,2
Li / 0.3Li2MnO3 · 0.7LiMn0.5Ni0.5O2,5
Li / 0.3Li2MnO3–0.7LiMn1.5Ni0.5O4 half -cells,4.8
Li / 0.3Li2MnO3·0.7LiMn1−xNiyCo0.1O2,4.6
Li / 0.3Li2MnO3·0.7LiMn1−xNiyCo0.1O2,2
"Li / 2,2′-DpyDS",0.1
"Li / 2,2′-DpyDS",0.04
"Li / 2,6-Naph(COOLi)2",0.7
Li / 3Li3N-MI / TiS2,2.56
Li / 3Li3N-MI / TiS2,2.2
"Li / 4,4′-DpyDS",2.8
"Li / 4,4′-DpyDS",3.01
"Li / 4,4′-DpyDS",2.6
"Li / 4,4′-DpyDS",3.27
"Li / 4,4′-DpyDS",2.39
"Li / 4,4′-DpyDS",2.45
"Li / 4,4′-DpyDS",2.52
Li / 800-TiP2O7,1.8
Li / Ag2Se,2.5
Li / Ag2Se,0.7
Li / Ag2Se,2.1
Li / Ag2V4O11,3.5
Li / Ag2V4O11,3.25
Li / Ag2V4O11,2.2
Li / Ag2VO2PO4,1.5
Li / Ag2VO2PO4,2
Li / Ag3Sb,0.5
Li / Ag3Sb,2.5
Li / Ag3Sb,0.1
Li / a-MnO2,2
Li / a-MnO2,3.5
Li / a-Si0.64Sn0.36,0.2
Li / a-Si0.64Sn0.36,1
Li / Au,0.5
Li / Au,0.4
Li / Au / Cu,9.21E-05
Li / Au / Cu,0.0001233
Li / Au / Cu ,5.01E-05
Li / Au / Cu ,2.41E-05
Li / Au / Cu ,2.40E-05
Li / a-V205,3.5
Li / a-V205,3.3
Li / a-V205,1.8
Li / a-V205-P205,1.8
Li / a-V205-P205,3.3
Li / a-V205-P205,3.5
Li / a-Vi05-P205,1.8
Li / a-Vi05-P205,3.3
Li / BBP,0.25
Li / Bi2S3,0.3
Li / Br,3.1
Li / C,2.8
Li / C,3.4
Li / C,0.8
Li / C,1.5
Li / C,2
Li / C,1
Li / C,3
Li / C,0.02
Li / C,2.5
Li / C,3.32
Li / C / Li,7.00E-05
Li / C / Li,0.00015
Li / C / Li,7.50E-05
Li / C / Li,8.00E-05
Li / C / Sn ,0.000126
Li / C / Sn ,0.0005
Li / C / Sn ,1.50E-05
Li / C : TiO2–TiOF2,2.1
Li / C60,1.5
Li / C60,2.1
Li / C60,2.6
Li / Ca0.13Li2.64Mn3O7.07,3.3
Li / CEIM-∞-10 / LiFePO4,2
Li / CEIM-∞-10 / LiFePO4,4.6
Li / Co,4.17
Li / Co,4.66
Li / Co,0.7
Li / Co,4.25
Li / Co,4.5
Li / Co,4.08
Li / Co,4.05
Li / Co,4.52
Li / Co,2.5
Li / Co0.25Ni0.75S,1.6
Li / Co0.25Ni0.75S,0.1
Li / Co2Mo3O8,3
Li / Co3O4,3
Li / cobalt-oxide,3
Li / CoFe2O4,1
Li / CoS0.89,3
Li / CoSb3,0.6
Li / Cr,4.78
Li / Cr,1.5
Li / CrOx,3
Li / Cu,2.5
Li / Cu,0.5
Li / Cu,0.15
Li / Cu,5.00E-05
Li / Cu,3.8
Li / Cu,1.20E-05
Li / Cu,1
Li / Cu2Sb,3
Li / Cu2Sb,2.78
Li / Cu2Sb,1.2
Li / Cu4Mo6Ss,2.6
Li / Cu4Mo6Ss,1.5
Li / Cu6Sn5,0.11
Li / Cu6Sn5,0.1
Li / Cu6Sn5,1.2
Li / Cu6Sn5,1.5
Li / Cu6Sn5,0.4
Li / Cu6Sn5,0.2
Li / CuFeO2,3
Li / CuFeO2,1.5
Li / CuFeS2,1.75
Li / CuFeS2,2.32
Li / CuFeSx,1.5
Li / CuO,0.5
Li / CuO,2.4
Li / CuS,2
Li / CuS,2.5
Li / CuV206,2.4
Li / CuV206,2
Li / CuV206,2.8
Li / DEGDME-LiBETI / Li,4.00E-05
Li / DEGDME-LiBETI / Li,3.00E-05
Li / DEGDME-LiBETI / Li,9.00E-05
Li / DEGDME-LiBETI / Li,6.00E-05
Li / DEGDME-LiBETI / Li,8.00E-05
Li / DpyDSDO,3
Li / DpyDSDO,3.4
Li / DpyDSDO,2
Li / DpyDSDO,3.5
Li / EC+DMC+LiPF6 / LiMn2O4,4.5
Li / EC+DMC+LiPF6 / LiMn2O4,4.2
Li / EC+DMC+LiPF6 / LiMn2O4,3
Li / Fe,2
Li / Fe,1.6
Li / Fe,3.08
Li / Fe,2.81
Li / Fe,3.1
Li / Fe,2.8
Li / Fe0.8Ni0.2S2,0.8
Li / Fe0.8Ni0.2S2,2.8
Li / Fe0.8Ni0.2S2,0.4
Li / Fe0.8Ni0.2S2,2.4
Li / Fe2O3,1
Li / Fe2O3,1.6
Li / Fe2O3,0.8
Li / Fe2O3–C ,3
Li / Fe3O4,1.2
Li / Fe3O4,3
Li / Fe3O4,1
Li / FeF3,3
Li / FeOF,1.6
Li / FeOF,0.7
Li / FeOF,4
Li / FeOF,1
Li / FeS2,1.1
Li / FeS2,2.5
Li / FeS2,1.8
Li / FeS2,2.45
Li / FeS2,2.7
Li / FeS2,3
Li / FeS2,2
Li / FeS2,2.6
Li / FeS2,1.2
Li / FeS2,2.4
Li / FeS2,1.6
Li / FeS2,1.5
Li / FeS2,1
Li / Ge,1.5
Li / Ge,0.6
Li / Ge-LLTa / Au,2.5
Li / H2Ti12O25,1.1
Li / H2Ti12O25,3
Li / H2Ti12O25,1
Li / Hg,1.5
Li / α-Fe2O3,1.7
Li / α-Fe2O3,1.1
Li / α-Fe2O3,1.2
Li / α-Li2ZnGe,0.9
Li / α-Li2ZnGe,1.1
Li / α-Li2ZnGe,0.2
Li / α-LiFeO2,4.4
Li / α-LiFeO2,1.5
Li / α-LiFeO2,4.2
Li / α-MnO2,2.2
Li / α-MnO2,4.4
Li / β-Li3PS4 / Li,2.00E-05
Li / β-Li3PS4 / Li,3.20E-05
Li / β-LiVOPO4,4.5
Li / γ-MnO2,3
Li / In2O3,3.5
Li / K0.25V2O5,1.5
Li / LCO,4.2
Li / LCO,4.45
Li / LCO,3
Li / LFP,4.2
Li / LFP,3.4
Li / LFP,2
Li / LFP,1.5
Li / LFP,2.5
Li / LFP,4.5
Li / Li,0.00015
Li / Li,3.49
Li / Li,4.07
Li / Li,1.45
Li / Li,3.00E-05
Li / Li,2.6
Li / Li,1.40E-05
Li / Li,0.00023
Li / Li,7.50E-05
Li / Li,4.20E-05
Li / Li,4.17
Li / Li,0.2
Li / Li,0.00024
Li / Li,0.00014
Li / Li,0.0003
Li / Li,0.00025
Li / Li,2.26
Li / Li,0.00021
Li / Li,0.7
Li / Li,6.2
Li / Li,0.00027
Li / Li,1.7
Li / Li,0.0006
Li / Li,0.105
Li / Li,5
Li / Li,1
Li / Li,1.30E-05
Li / Li,0.00019
Li / Li,1.5
Li / Li,3.75
Li / Li,0.00018
Li / Li ,0.1
Li / Li ,4
Li / Li / Li1.05Mn1.95O4,4.3
Li / Li / Pt,5
Li / Li 3 V,3
Li / Li(Li0.07Ni0.1Co0.6Mn0.23)O2,4.3
Li / Li(Li0.07Ni0.1Co0.6Mn0.23)O2,2.5
Li / Li(Li0.13Ni0.30Mn0.57)O2,5
Li / Li(Mn0.46Ni0.46Ti0.05Li0.02)O2,1.1
Li / Li(Mn0.46Ni0.46Ti0.05Li0.02)O2,3.2
Li / Li(Mn0.46Ni0.46Ti0.05Li0.02)O2,4.6
Li / Li(Mn0.46Ni0.46Ti0.05Li0.02)O2,1.09
Li / Li(Mn0.46Ni0.46Ti0.05Li0.02)O2,4.3
Li / Li(Mn0.46Ni0.46Ti0.05Li0.02)O2,1
Li / Li(Mn0.46Ni0.46Ti0.05Li0.02)O2,2.5
Li / Li(Mn0.46Ni0.46Ti0.05Li0.02)O2,3.3
Li / Li(Mn0.46Ni0.46Ti0.05Li0.02)O2,1.4
Li / Li(Ni0.475Co0.05Mn0.475)O2,4.3
Li / Li(Ni0.475Co0.05Mn0.475)O2,2.8
Li / Li(Ni0.5+0.5zMn0.5−0.5z)O2−zFz,4.3
Li / Li(Ni0.5+0.5zMn0.5−0.5z)O2−zFz,2.8
Li / Li(Ni0.5−xCo2xMn0.5−x)O2,4.3
Li / Li(Ni0.5Co0.2Mn0.3)O2,4.3
Li / Li(Ni0.5Co0.2Mn0.3)O2,2.5
Li / Li[Al0.5Mn1.5]O4,4.1
Li / Li[Al0.5Mn1.5]O4,5.1
Li / Li[Al0.5Mn1.5]O4,5
Li / Li[Li0.12NizMg0.32−zMn0.56]O2,4.6
Li / Li[Li0.12NizMg0.32−zMn0.56]O2,2.7
Li / Li[Li0.2Ni0.2Mn0.6]O2,4.6
Li / Li[Li0.2Ni0.2Mn0.6]O2,3
Li / Li[Li0.2Ni0.2Mn0.6]O2,3.2
Li / Li[Li0.2Ni0.2Mn0.6]O2,3.8
Li / Li[Li0.2Ni0.2Mn0.6]O2,2
Li / Li[LixAlyMn2−x − y]O4−zFz,4.3
Li / Li[LixMn2−x]O4,3
Li / Li[LixNi(1−3x) / 2Mn(1+x) / 2]O2,4.6
Li / Li[LixNi(1−3x) / 2Mn(1+x) / 2]O2,2.5
Li / Li[LixNi(1−3x) / 2Mn(1+x) / 2]O2,4.45
Li / Li[Mn1.5Ni0.5]O4,4
Li / Li[Mn2]O4,5
Li / Li[Mn2]O4,5.1
Li / Li[Mn2]O4,3.5
Li / Li[Mn2]O4,3
Li / Li[Mn2]O4,4
Li / Li[Ni0.45Co0.1Mn0.45−xZrx]O2,4.6
Li / Li[Ni0.4Co0.2Mn(0.4−x)Mgx]O2−yFy,4.6
Li / Li[Ni0.4Co0.2Mn(0.4−x)Mgx]O2−yFy,2.8
Li / Li[Ni0.4Co0.2Mn0.4]O2,4.3
Li / Li[Ni0.4Co0.2Mn0.4]O2,4.4
Li / Li[Ni0.4Co0.2Mn0.4]O2,2.8
Li / Li[Ni0.52Co0.16+xMn0.32−x]O2,2.7
Li / Li[Ni0.52Co0.16+xMn0.32−x]O2,4.5
Li / Li[Ni0.5−xMn0.5−xZr2x]O2,4.5
Li / Li[Ni0.5−xMn0.5−xZr2x]O2,2
Li / Li[Ni0.5CoxMn1.5−x]O4,3
Li / Li[Ni0.5Mn0.5]O2,3
Li / Li[Ni0.5Mn0.5]O2,2.8
Li / Li[Ni0.5Mn0.5]O2,4.3
Li / Li[Ni0.5Mn1.5]O4,4.9
Li / Li[Ni0.5Mn1.5]O4,5
Li / Li[Ni0.5Mn1.5]O4,3.5
Li / Li[Ni0.8Co0.1Mn0.1]O2,2.5
Li / Li[Ni0.8Co0.1Mn0.1]O2,4.2
Li / Li[Ni0.8Co0.1Mn0.1]O2,4.3
Li / Li[Ni0.8Co0.1Mn0.1−x − yAlxMgy]O2,4.3
Li / Li[Ni0.8Co0.1Mn0.1−x − yAlxMgy]O2,3
Li / Li[NixCoyMnz]O2,4.23
Li / Li[NixCoyMnz]O2,3.78
Li / Li[NixCoyMnz]O2,4.04
Li / Li[NixCoyMnz]O2,3
Li / Li[NixCoyMnz]O2,3.62
Li / Li[NixCoyMnz]O2,3.76
Li / Li[NixCoyMnz]O2,4.3
Li / Li[NixCoyMnz]O2,3.72
Li / Li[NixCoyMnz]O2,2.8
Li / Li[NixLi(1−2x) / 3Mn(2−x) / 3]O2,4.5
Li / Li+ ,0.75
Li / Li+ ,3.6
Li / Li0.44+xMn1−yTiyO2,4.8
Li / Li0.44+xMn1−yTiyO2,2.5
Li / Li0.44Mn1−yTiyO2,4.8
Li / Li0.44Mn1−yTiyO2,2.5
Li / Li0.44MnO2,4.8
Li / Li0.55MnO2,4.8
Li / Li0.56MnO1.98S0.02,4.6
Li / Li0.6Mn0.82Ni0.10Ti0.08O2,2
Li / Li0.6Mn0.82Ni0.10Ti0.08O2,4
Li / Li0.6Mn0.82Ni0.10Ti0.08O2,4.8
Li / Li0.72Mn0.78Ti0.22O2,4.8
Li / Li1.02YxMn2−xO4,3.99
Li / Li1.02YxMn2−xO4,4.18
Li / Li1.02YxMn2−xO4,4.3
Li / Li1.02YxMn2−xO4,3
Li / Li1.05Fe0.997Cu0.003PO4,3.53
Li / Li1.05Fe0.997Cu0.003PO4,3.3
Li / Li1.0Mn0.82Ni0.10Ti0.08O2,4.8
Li / Li1.0Mn0.82Ni0.10Ti0.08O2,2
Li / Li1.15(Ni0.36Mn0.64)0.85O2,2
Li / Li1.15(Ni0.36Mn0.64)0.85O2,4.6
Li / Li1.156Mn1.844O4,3.9
Li / Li1.1Ni0.25Mn0.65O2,2.5
Li / Li1.1V3O8,2
Li / Li1.2(Mn0.5Ni0.4Co0.1)O2+y,2
Li / Li1.2(Mn0.5Ni0.4Co0.1)O2+y,4.6
Li / Li1.20Ni0.17Co0.10Mn0.53O2,4.5
Li / Li1.23Ni0.13Co0.14Mn0.56O2−zFz,4.8
Li / Li1.27Cr0.2Mn0.53O2,3.4
Li / Li1.2Mn0.54Ni0.13Co0.13O2,4.8
Li / Li1.2Mn0.54Ni0.13Co0.13O2,2
Li / Li1.2Mn0.55Ni0.15Co0.1O2,4.8
Li / Li1.2Ni0.17Co0.17Mn0.5O2,2
Li / Li1.2Ni0.17Co0.17Mn0.5O2,4.8
Li / Li1.2Ni0.2Mn0.6O2,4.7
Li / Li1.2Ni0.2Mn0.6O2,3.6
Li / Li1.2Ni0.2Mn0.6O2,4.3
Li / Li1.2Ni0.2Mn0.6O2,3.2
Li / Li1.2Ni0.2Mn0.6O2,4
Li / Li1.33Ti1.67O4,1
Li / Li1.33Ti1.67O4,3
Li / Li1.8MnSi0.8P0.2O4,0.1
Li / Li1.8Ru0.6Fe0.6O3,4.2
Li / Li1.8Ru0.6Fe0.6O3,4.3
Li / Li1+x(Mn0.6- Ni0.2Co0.2)1âˆ’xO2,2
Li / Li1+x(Mn0.6- Ni0.2Co0.2)1âˆ’xO2,4.8
Li / Li1+x(Mn0.6Ni0.2Co0.2)1âˆ’xO2,4.8
Li / Li1+x(Mn0.6Ni0.2Co0.2)1âˆ’xO2,2
Li / Li1+xMn2−xO4,4
Li / Li1+xMn2−xO4,3
Li / Li1+xNi0.5Mn0.5O2+z,2.7
Li / Li1+xNi0.5Mn0.5O2+z,4.6
Li / Li1−xCo0.8Mn0.2O2,3.85
Li / Li1−xFe0.8Ni0.2O2–LixMnO2,4.5
Li / Li1−yNi0.45Mn0.45Al0.1O2,2.5
Li / Li2.26Mn0.91Cr1.29O4.93,3.3
Li / Li2.26Mn0.91Cr1.29O4.93,4
Li / Li2.26Mn0.91Cr1.29O4.93,2.8
Li / Li2.26Mn0.91Cr1.29O4.93,3
Li / Li2.33Ti1.67O4,1
Li / Li2.33Ti1.67O4,3
Li / Li2.6Co0.4N,1.4
Li / Li2.6Co0.4N,1.1
Li / Li2−xPtO3,4
Li / Li2CoPO4F,2
Li / Li2CoPO4F,5.1
Li / Li2CuO2,2.8
Li / Li2GeGa2S6 / Au,0.8
Li / Li2GeGa2S6 / Au,6
Li / Li2IrO3,4.2
Li / Li2IrO3,4.4
Li / Li2Mn4O9,3
Li / Li2Mn4O9,4
Li / Li2MnO3,4.5
Li / Li2MnO3,2
Li / Li2MnO3,4.8
Li / Li2MnO3,3.3
Li / Li2MnSiO4,4.9
Li / Li2MnSiO4,2.5
Li / Li2MnSiO4,0.1
Li / Li2MnSiO4,4.8
Li / Li2MoO3,4.3
Li / Li2NaCu2O4,2.5
Li / Li2NaCu2O4,3.3
Li / Li2O ,2
Li / Li2O2,2.05
Li / Li2O2,2.96
Li / Li2O2,3.35
Li / Li2O2,4.5
Li / Li2Ru0.5Mn0.5O3,2
Li / Li2Ru0.5Mn0.5O3,4.6
Li / Li2Ru0.9Zr0.1O3,1.2
Li / Li2RuO3,2.8
Li / Li2RuO3,4.4
Li / Li2RuO3,4
Li / Li2RuO3,1.4
Li / Li2S,2.51
Li / Li2S,2.3
Li / Li2S,2.57
Li / Li2S,0.5
Li / Li2S,3
Li / Li2S,3.8
Li / Li2S–C,2.54
Li / Li2S–C,2.67
Li / Li2Se–Sb2Se3,1.7
Li / Li2Se–Sb2Se3,3.5
Li / Li2x VO(H2−x PO4)2,1.8
Li / Li2xVO(H2−xPO4)2,1.8
Li / Li3 − xNixN,1.5
Li / Li3CrMnO4+z,4.5
Li / Li3CrMnO4+z,5
Li / Li3CrMnO4+z,2.5
Li / Li3Fe0.02V1.98(PO4)3,4.9
Li / Li3MnO4,3.4
Li / Li3MnO4,3
Li / Li3PO4 / Li2RuO3 all-solid-state,4
Li / Li3V2(PO4)3,3
Li / Li3V2(PO4)3,4.8
Li / Li4+x+δ(Ge1−δ′−xGax)S4 / Au,5
Li / Li4Mn5O12,3.6
Li / Li4Mn5O12(400),4.4
Li / Li4Mn5O12(400),3.5
Li / Li4MnsO,3.6
Li / Li4MnsO,2.5
Li / Li4Ti5O12,4.2
Li / Li4Ti5O12,3
Li / Li4Ti5O12,1
Li / Li4Ti5O12,1.6
Li / Li4Ti5O12,2.00E-05
Li / Li4Ti5O12,1.4
Li / Li4Ti5O12,2.8
Li / Li4Ti5O12,2.5
Li / Li4Ti5O12,2.2
Li / Li4Ti5O12,1.5
Li / Li4Ti5O12,1.7
Li / Li4VO(PO4)2,2
Li / Li4VO(PO4)2,1.50E-05
Li / Li4VO(PO4)2,1.8
Li / Li6CuB4O10,4.5
Li / Li7.25Si0.25P0.75S6 / Li,0.02
Li / Li7−xMnN4,1.2
Li / Li7La3Zr1.7Ge0.3O12 / Ag,4.5
Li / Li7La3Zr2O12,4
Li / Li7La3Zr2O12,5
Li / Li7MnN4,1.7
Li / Li7Ti5O12,1.1
Li / Li9V3(P2O7)3(PO4)2,3
Li / Li9V3(P2O7)3(PO4)2,4.6
Li / LiAICI4.4SO2 / C,2.7
Li / LiAl0.1Mn1.9O4,4.3
Li / LiAlδNi1−δO2,4.3
Li / LiAlδNi1−δO2,3
Li / LiAlxMn2−xO4,4.4
Li / LiBF4,3.8
Li / LiBON / LiCoO2,3
Li / LiBON / LiCoO2,4.2
Li / LiC104-PC / Li ~ V205 + ketjen black,1.5
Li / LiC104-PC / Li ~ V205 + ketjen black,3.4
Li / LiC104-PC / LizV205+ketjen black,1.9
Li / LiC104-PC / LizV205+ketjen black,4
Li / LiCexMn2−xO4,2.75
Li / LiCexMn2−xO4,4.5
Li / LiCF3SO3-TEGDME / LiFePO4,3.5
Li / LiCF3SO3-TEGDME / LiFePO4,4.1
Li / LiCl / Li,1.5
Li / LiClO4 / DTTA,2.6
Li / LiClO4 / Li0.33MnO1.95·0.6H2O,2
Li / LiClO4 / PDTTA,2.6
Li / LiClO4 / PDTTA,3.1
Li / LiClO4 / PDTTA,1.9
Li / LiClO4(PC) / LiCoyMn2−yO4,4.5
Li / LiClO4(PC) / LiCoyMn2−yO4,3.3
Li / LiClO4(PC) / LiCoyMn2−yO4,4
Li / LiCo0.2Ni0.8O2,4.3
Li / LiCo0.3−xGaxNi0.7O2,4.4
Li / LiCo0.3Ni0.4−xMn0.3ZnxO2,3
Li / LiCo0.3Ni0.4−xMn0.3ZnxO2,4.3
Li / LiCo0.4Ni0.3Mn0.3O2,2.5
Li / LiCo0.4Ni0.3Mn0.3O2,4.5
Li / LiCo1−xAlxO2,4.3
Li / LiCo1−xGaxO2,4.8
Li / LiCo1−yGayO2,4.3
Li / LiCo1−yGayO2,4.5
Li / LiCoAsO4,5
Li / LiCoAsO4,0.05
Li / LiCoAsO4,2.5
Li / LiCoMnO4,5.4
Li / LiCoMnO4,3
Li / LiCoMnO4,3.9
Li / LiCoO,3.1
Li / LiCoO2,4.1
Li / LiCoO2,3.5
Li / LiCoO2,4.45
Li / LiCoO2,4.8
Li / LiCoO2,3.2
Li / LiCoO2,4.15
Li / LiCoO2,1
Li / LiCoO2,0.00015
Li / LiCoO2,1.8
Li / LiCoO2,4.07
Li / LiCoO2,4.2
Li / LiCoO2,1.1
Li / LiCoO2,1.5
Li / LiCoO2,4
Li / LiCoO2,5
Li / LiCoO2,2.7
Li / LiCoO2,4.3
Li / LiCoO2,2.8
Li / LiCoO2,4.05
Li / LiCoO2,4.6
Li / LiCoO2,3
Li / LiCoO2,0.00025
Li / LiCoO2,4.95
Li / LiCoO2,3.93
Li / LiCoO2,2.5
Li / LiCoO2,4.04
Li / LiCoPO4,4.9
Li / LiCoxMn2−xO4,4.3
Li / LiCoxMn2−xO4,3
Li / LiCoxMn2-xO4,4.3
Li / LiCoxMn2-xO4,3.5
Li / LiCoyMn2 − yO4,3
Li / LiCoyMn2 − yO4,5.3
Li / LiCr0.05Mn1.95O4,4
Li / LiCr0.33V0.33Mn0.33O2,4.3
Li / LiCr30,3.9
Li / LiFe0.2Mn0.8PO4,4.35
Li / LiFeBO3,4.5
Li / LiFeBO3–C,4.5
Li / LiFeO2,3
Li / LiFeO2,4
Li / LiFeO2,4.3
Li / LiFeO2,4.5
Li / LiFeO2,4.2
Li / LiFePO4,0.27
Li / LiFePO4,0.25
Li / LiFePO4,0.33
Li / LiFePO4,4.3
Li / LiFePO4,1.5
Li / LiFePO4,3.3
Li / LiFePO4,4.2
Li / LiFePO4,4
Li / LiFePO4,0.0003
Li / LiFePO4,3.7
Li / LiFePO4,2.7
Li / LiFePO4,4.1
Li / LiFePO4,4.8
Li / LiFePO4,3.25
Li / LiFePO4,0.00015
Li / LiFePO4,3.85
Li / LiFePO4,3.8
Li / LiFePO4,4.5
Li / LiFePO4,2.8
Li / LiFePO4,3.4
Li / LiFePO4,4.25
Li / LiFePO4,3.5
Li / LiFePO4,3.2
Li / LiFePO4,3.425
Li / LiFePO4,0.26
Li / LiFePO4 / C,0.00035
Li / LiFePO4 / C,3.43
Li / LiFeSnO4,2.5
Li / LiFexMn2−xO4,4.4
Li / LiFeyMn2 − yO4,5.3
Li / LiFeyMn2 − yO4,3
Li / LiFeyMn2−yO4,3
Li / LiFeyMn2−yO4,5.1
Li / LiGaC14,2.8
Li / LiGaxMn2−xO4,4.3
Li / LiMgxCo1−xO2,4.2
Li / LiMn 2 O 4,4
Li / LiMn0.2Fe0.8PO4,4.25
Li / LiMn0.2Fe0.8PO4,3
Li / LiMn0.4Fe0.6PO4,4.6
Li / LiMn0.4Fe0.6PO4,2
Li / LiMn0.5Ni0.5O2,2.5
Li / LiMn0.5Ni0.5O2,1.4
Li / LiMn0.5Ni0.5O2,4.3
Li / LiMn0.5Ni0.5O2,2
Li / LiMn0.5Ni0.5O2,4.6
Li / LiMn0.5Ni0.5O2,3
Li / LiMn1.4Cr0.2Ni0.4O4,0.7
Li / LiMn1.5Ni0.5O4,5
Li / LiMn1.5Ni0.5O4,4.8
Li / LiMn1.5Ni0.5O4,4.9
Li / LiMn1.92Al0.08O4,4.3
Li / LiMn1.92Al0.08O4,3
Li / LiMn1.9Co0.1O4,4.3
Li / LiMn20,3
Li / LiMn20,4
Li / LiMn204,4.5
Li / LiMn204,3.5
Li / LiMn204,4.3
Li / LiMn204,4
Li / LiMn204,3
Li / LiMn204,3.3
Li / LiMn204,4.1
Li / LiMn2−xCrxO4,4.5
Li / LiMn2−xCrxO4,3
Li / LiMn2−xErxO4,3
Li / LiMn2−xErxO4,4.4
Li / LiMn2O4,3.4
Li / LiMn2O4,4.35
Li / LiMn2O4,4.12
Li / LiMn2O4,0.4
Li / LiMn2O4,1.7
Li / LiMn2O4,3.5
Li / LiMn2O4,4
Li / LiMn2O4,0.06
Li / LiMn2O4,4.1
Li / LiMn2O4,2.75
Li / LiMn2O4,4.2
Li / LiMn2O4,2.9
Li / LiMn2O4,3.3
Li / LiMn2O4,4.3
Li / LiMn2O4,3
Li / LiMn2O4,3.6
Li / LiMn2O4,0.0001
Li / LiMn2O4,2.3
Li / LiMn2O4,4.9
Li / LiMn2O4,0.7
Li / LiMn2O4,4.4
Li / LiMn2O4,5
Li / LiMn2O4,3.7
Li / LiMn2O4,4.5
Li / LiMnBO3,4.8
Li / LiMnO2,4.45
Li / LiMnO2,4
Li / LiMnO2,2.5
Li / LiMnO2,3
Li / LiMnO2,4.2
Li / LiMnPO4,2.5
Li / LiMnPO4,4.5
Li / LiMnPO4,3
Li / LiMnz04,3.5
Li / LiMoO2,0.1
Li / LiNi0.20Li0.20Mn0.60O2 ,3.8
Li / LiNi0.20Li0.20Mn0.60O2 ,4.1
